wu: 0, q_u: 5, q_s: 10.0845817108468
wu: 0, q_u: 5, q_s: 20.0723913881958
wu: 0, q_u: 5, q_s: 30.0656112721656
wu: 0, q_u: 6, q_s: 10.0845817108468
wu: 0, q_u: 6, q_s: 20.0723913881958
wu: 0, q_u: 6, q_s: 30.0656112721656
wu: 0.1, q_u: 5, q_s: 10.0845817108468
wu: 0.1, q_u: 5, q_s: 20.0723913881958
wu: 0.1, q_u: 5, q_s: 30.0656112721656
wu: 0.1, q_u: 6, q_s: 10.0845817108468
wu: 0.1, q_u: 6, q_s: 20.0723913881958
wu: 0.1, q_u: 6, q_s: 30.0656112721656
wu: 0.2, q_u: 5, q_s: 10.0845817108468
wu: 0.2, q_u: 5, q_s: 20.0723913881958
wu: 0.2, q_u: 5, q_s: 30.0656112721656
wu: 0.2, q_u: 6, q_s: 10.0845817108468
wu: 0.2, q_u: 6, q_s: 20.0723913881958
wu: 0.2, q_u: 6, q_s: 30.0656112721656
wu: 0.3, q_u: 5, q_s: 10.0845817108468
wu: 0.3, q_u: 5, q_s: 20.0723913881958
wu: 0.3, q_u: 5, q_s: 30.0656112721656
wu: 0.3, q_u: 6, q_s: 10.0845817108468
wu: 0.3, q_u: 6, q_s: 20.0723913881958
wu: 0.3, q_u: 6, q_s: 30.0656112721656
wu: 0.4, q_u: 5, q_s: 10.0845817108468
wu: 0.4, q_u: 5, q_s: 20.0723913881958
wu: 0.4, q_u: 5, q_s: 30.0656112721656
wu: 0.4, q_u: 6, q_s: 10.0845817108468
wu: 0.4, q_u: 6, q_s: 20.0723913881958
wu: 0.4, q_u: 6, q_s: 30.0656112721656
