wu: 0, q_u: 5, q_s: 10.0816192483062
wu: 0, q_u: 5, q_s: 20.0676534981742
wu: 0, q_u: 5, q_s: 30.0617692867158
wu: 0, q_u: 6, q_s: 10.0816192483062
wu: 0, q_u: 6, q_s: 20.0676534981742
wu: 0, q_u: 6, q_s: 30.0617692867158
wu: 0.1, q_u: 5, q_s: 10.0816192483062
wu: 0.1, q_u: 5, q_s: 20.0676534981742
wu: 0.1, q_u: 5, q_s: 30.0617692867158
wu: 0.1, q_u: 6, q_s: 10.0816192483062
wu: 0.1, q_u: 6, q_s: 20.0676534981742
wu: 0.1, q_u: 6, q_s: 30.0617692867158
wu: 0.2, q_u: 5, q_s: 10.0816192483062
wu: 0.2, q_u: 5, q_s: 20.0676534981742
wu: 0.2, q_u: 5, q_s: 30.0617692867158
wu: 0.2, q_u: 6, q_s: 10.0816192483062
wu: 0.2, q_u: 6, q_s: 20.0676534981742
wu: 0.2, q_u: 6, q_s: 30.0617692867158
wu: 0.3, q_u: 5, q_s: 10.0816192483062
wu: 0.3, q_u: 5, q_s: 20.0676534981742
wu: 0.3, q_u: 5, q_s: 30.0617692867158
wu: 0.3, q_u: 6, q_s: 10.0816192483062
wu: 0.3, q_u: 6, q_s: 20.0676534981742
wu: 0.3, q_u: 6, q_s: 30.0617692867158
wu: 0.4, q_u: 5, q_s: 10.0816192483062
wu: 0.4, q_u: 5, q_s: 20.0676534981742
wu: 0.4, q_u: 5, q_s: 30.0617692867158
wu: 0.4, q_u: 6, q_s: 10.0816192483062
wu: 0.4, q_u: 6, q_s: 20.0676534981742
wu: 0.4, q_u: 6, q_s: 30.0617692867158
