wu: 0, q_u: 5, q_s: 10.0789172850349
wu: 0, q_u: 5, q_s: 20.0639793176135
wu: 0, q_u: 5, q_s: 30.0556715690004
wu: 0, q_u: 6, q_s: 10.0789172850349
wu: 0, q_u: 6, q_s: 20.0639793176135
wu: 0, q_u: 6, q_s: 30.0556715690004
wu: 0.1, q_u: 5, q_s: 10.0789172850349
wu: 0.1, q_u: 5, q_s: 20.0639793176135
wu: 0.1, q_u: 5, q_s: 30.0556715690004
wu: 0.1, q_u: 6, q_s: 10.0789172850349
wu: 0.1, q_u: 6, q_s: 20.0639793176135
wu: 0.1, q_u: 6, q_s: 30.0556715690004
wu: 0.2, q_u: 5, q_s: 10.0789172850349
wu: 0.2, q_u: 5, q_s: 20.0639793176135
wu: 0.2, q_u: 5, q_s: 30.0556715690004
wu: 0.2, q_u: 6, q_s: 10.0789172850349
wu: 0.2, q_u: 6, q_s: 20.0639793176135
wu: 0.2, q_u: 6, q_s: 30.0556715690004
wu: 0.3, q_u: 5, q_s: 10.0789172850349
wu: 0.3, q_u: 5, q_s: 20.0639793176135
wu: 0.3, q_u: 5, q_s: 30.0556715690004
wu: 0.3, q_u: 6, q_s: 10.0789172850349
wu: 0.3, q_u: 6, q_s: 20.0639793176135
wu: 0.3, q_u: 6, q_s: 30.0556715690004
wu: 0.4, q_u: 5, q_s: 10.0789172850349
wu: 0.4, q_u: 5, q_s: 20.0639793176135
wu: 0.4, q_u: 5, q_s: 30.0556715690004
wu: 0.4, q_u: 6, q_s: 10.0789172850349
wu: 0.4, q_u: 6, q_s: 20.0639793176135
wu: 0.4, q_u: 6, q_s: 30.0556715690004
